,Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares
175,Y,ADSEW,ADS-TEC ENERGY PLC - Warrant,Q,S,N,100.0,N,N,,ADSEW,N
176,Y,ADSK,"Autodesk, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ADSK,N
177,Y,ADT,ADT Inc. Common Stock,N, ,N,100.0,N,,ADT,ADT,N
178,Y,ADTH,"AdTheorent Holding Company, Inc. - Common Stock",Q,S,N,100.0,N,N,,ADTH,N
179,Y,ADTHW,"AdTheorent Holding Company, Inc. - Warrants",Q,S,N,100.0,N,N,,ADTHW,N
180,Y,ADTN,"ADTRAN Holdings, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ADTN,N
181,Y,ADTX,"Aditxt, Inc. - Common Stock",Q,S,N,100.0,N,D,,ADTX,N
182,Y,ADUS,Addus HomeCare Corporation - Common Stock,Q,Q,N,100.0,N,N,,ADUS,N
183,Y,ADV,Advantage Solutions Inc.  - Class A Common Stock,Q,Q,N,100.0,N,N,,ADV,N
184,Y,ADVM,"Adverum Biotechnologies, Inc. - Common Stock",Q,S,N,100.0,N,N,,ADVM,N
185,Y,ADVWW,Advantage Solutions Inc.  - Warrant,Q,Q,N,100.0,N,N,,ADVWW,N
186,Y,ADX,Adams Diversified Equity Fund Inc.,N, ,N,100.0,N,,ADX,ADX,N
187,Y,ADXN,Addex Therapeutics Ltd - American Depositary Shares,Q,S,N,100.0,N,D,,ADXN,N
188,Y,AE,"Adams Resources & Energy, Inc. Common Stock",A, ,N,100.0,N,,AE,AE,N
189,Y,AEAE,AltEnergy Acquisition Corp. - Class A Common Stock,Q,G,N,100.0,N,N,,AEAE,N
190,Y,AEAEU,AltEnergy Acquisition Corp. - Unit,Q,G,N,100.0,N,N,,AEAEU,N
191,Y,AEAEW,AltEnergy Acquisition Corp. - Warrant,Q,G,N,100.0,N,N,,AEAEW,N
192,Y,AEE,Ameren Corporation Common Stock,N, ,N,100.0,N,,AEE,AEE,N
193,Y,AEF,"abrdn Emerging Markets Equity Income Fund, Inc. Common Stock",A, ,N,100.0,N,,AEF,AEF,N
194,Y,AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,N, ,N,100.0,N,,AEFC,AEFC,N
195,Y,AEG,AEGON N.V. Common Stock,N, ,N,100.0,N,,AEG,AEG,N
196,Y,AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,Q,S,N,100.0,N,D,,AEHL,N
197,Y,AEHR,Aehr Test Systems - Common Stock,Q,S,N,100.0,N,N,,AEHR,N
198,Y,AEI,Alset Inc. - Common Stock,Q,S,N,100.0,N,N,,AEI,N
199,Y,AEIS,"Advanced Energy Industries, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AEIS,N
200,Y,AEL,American Equity Investment Life Holding Company Common Stock,N, ,N,100.0,N,,AEL,AEL,N
203,Y,AEM,Agnico Eagle Mines Limited Common Stock,N, ,N,100.0,N,,AEM,AEM,N
204,Y,AEMB,American Century Emerging Markets Bond ETF,P, ,Y,100.0,N,,AEMB,AEMB,N
205,Y,AEMD,"Aethlon Medical, Inc. - Common Stock",Q,S,N,100.0,N,D,,AEMD,N
206,Y,AENT,Alliance Entertainment Holding Corporation - common stock,Q,S,N,100.0,N,N,,AENT,N
207,Y,AENTW,Alliance Entertainment Holding Corporation - Warrants,Q,S,N,100.0,N,N,,AENTW,N
208,Y,AENZ,Aenza S.A.A. American Depositary Shares,N, ,N,100.0,N,,AENZ,AENZ,N
209,Y,AEO,"American Eagle Outfitters, Inc. Common Stock",N, ,N,100.0,N,,AEO,AEO,N
210,Y,AEON,"AEON Biopharma, Inc. Class A Common Stock",A, ,N,100.0,N,,AEON,AEON,N
212,Y,AEP,"American Electric Power Company, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AEP,N
213,Y,AER,AerCap Holdings N.V. Ordinary Shares,N, ,N,100.0,N,,AER,AER,N
214,Y,AES,The AES Corporation Common Stock,N, ,N,100.0,N,,AES,AES,N
215,Y,AESC,The AES Corporation Corporate Units,N, ,N,100.0,N,,AESC,AESC,N
216,Y,AESI,Atlas Energy Solutions Inc. Class A Common Stock,N, ,N,100.0,N,,AESI,AESI,N
217,Y,AESR,Anfield U.S. Equity Sector Rotation ETF,Z, ,Y,100.0,N,,AESR,AESR,N
